Certificate Number,Business Name,DBA Name,Business Type,Business is MWBE Owned,Business is Publicly Traded,Business Officers,Address,Address 2,City,State,Zip Code,Phone,Issued Date,Expiration Date,Status,Business has a NYS DOL Employer Registration Number,Reason business does not have a NYS DOL Employer Registration Number ,Business has a WCB Employer Number,Business has outstanding wage assessments,Business has been debarred,Debarment State or Federal Law,Debarment State,Debarment Start Date,Debarment End Date,Business has final determination for violation of Labor or Tax Law,Business has final determination safety standard violations,Business is associated with an apprenticeship program,Business is sponsor of a program ,Business is signatory to a group program,Business has Workers Compensation Insurance,Business is exempt from Workers Compensation Insurance ,Georeference
25-64ZZ8-CR,Moosehead LLC,,LLC,No,No,,PO Box 439,,West Suffield,CT,06093,8603709370,02/11/2025,02/11/2027,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,Yes,Yes,No,
25-64VSB-CR,Moosehead Masonry LLC,Moosehead Exteriors and Home Improvement,Corporation,No,No,,1272 MOSCOW ROAD,,Hamlin,NY,14464,5857273853,01/07/2025,01/07/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-77.95998 43.35043)
25-64J7P-CR,"Morales Electrical Contracting, Inc.",,Corporation,Yes,No,,31-99 123rd Street,,Flushing,NY,11354,5162562530,01/02/2025,01/02/2027,Active,Yes,,Yes,No,No,,,,,No,No,Yes,Yes,Yes,Yes,No,POINT (-73.84569 40.76634)
24-63S8Z-CR,Morano Brothers Corp.,Morano Brothers Corp,Corporation,No,No,,2045 ALBANY POST RD,,CROTON-ON-HUDSON,NY,10520,9147888460,11/15/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.91677 41.23673)
24-637NA-CR,More Consulting Corp,,Corporation,No,No,,19 Old Dock Road,,YAPHANK,NY,11980,6319241414,12/06/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,Yes,Yes,No,No,Yes,No,POINT (-72.94249 40.81528)
25-64KE7-CR,"MORE ROOFING, INC.",,Corporation,No,No,,19 Old Dock Road,,YAPHANK,NY,11980,6319241414,01/03/2025,01/03/2027,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,No,Yes,No,POINT (-72.94249 40.81528)
24-634RH-CR,"MORGAN SPECIALIZED CONTRACTING, INC.",,Corporation,No,No,,1173 County Route 45,,Central Square,NY,13036,3155910443,11/29/2024,11/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-76.24276 43.35327)
24-634H4-CR,MORLYN ASPHALT CORP.,,Corporation,No,No,,1936 STATE ROUTE 17B,,WHITE LAKE,NY,12786,8452504001,12/02/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.87991 41.6202)
24-64YBF-CR,"Morris Masonry Restoration, LLC",,LLC,No,No,,441 Bailey Ave,,Buffalo,NY,14210,7168940102,12/12/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,Yes,Yes,No,Yes,Yes,No,POINT (-78.82322 42.8676)
25-64J5P-CR,"Morrison, Inc.",Cook Fence Construction Company,Corporation,No,No,,7450 West Street,,Newport,NY,13416,3157321890,01/02/2025,01/02/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-75.02131 43.18609)
25-64CUQ-CR,"Morsch Pipeline, Inc.",,Corporation,No,No,,3929 South Avon Road,3929 S Avon Rd,Avon,NY,14414,5857703714,01/09/2025,01/09/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-77.80743 42.86626)
24-635RY-CR,"Morse-Collins, Inc.",,Corporation,No,No,,5047 State Route 34,,Auburn,NY,13021,3152520543,12/03/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-76.57365 42.8634)
24-64G6Q-CR,"M&O Sanitation, Inc.",,Corporation,Yes,No,,70 FAIRVIEW AVE,,Poughkeepsie,NY,12601,8454710308,12/26/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.92266 41.71823)
24-64GJ8-CR,"Moszo Air Condition and Heating, LLC",,LLC,Yes,No,,361 AMBOY STREET,,BROOKLYN,NY,11212,3473202126,12/24/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.91252 40.66139)
25-64T4A-CR,"Motorola Solutions, Inc.",,Corporation,No,Yes,Nicholas Tyler Panetta,500 West Monroe Street,,Chicago,IL,60661,3474661049,01/24/2025,01/24/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-87.64042 41.88057)
25-64SUX-CR,Moulton Masonry & Construction LLC,,LLC,No,No,,102 homer drive,,Lake Luzerne,NY,12846,5186830360,02/07/2025,02/07/2027,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,Yes,Yes,No,POINT (-73.8455 43.34252)
25-64LRR-CR,"Moving Up Lifts, Inc.",,Corporation,No,No,,5961 Amboy Road,,Staten Island,NY,10309,7184209040,01/31/2025,01/31/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.20593 40.52546)
25-64PKU-CR,Moy Contracting Corp,Moy Contracting Corp,Corporation,No,No,,100 Tarryhill Way,,White Plains,NY,10603,9173491093,01/11/2025,01/11/2027,Active,No,Other,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.79538 41.04929)
24-64EQR-CR,Moy Enterprises Inc.,Moy Enterprises Inc.,Corporation,No,No,,143 Becker Road,,Greenwich,NY,12834,5186929455,12/30/2024,12/30/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.53111 42.99918)
24-64N47-CR,MPCC Corp.,,Corporation,No,No,,81 Rockdale Avenue,,New Rochelle,NY,10801,9146360000,12/17/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,Yes,Yes,No,POINT (-73.79308 40.90505)
24-64FD9-CR,"MPC Construction Services, LLC",,LLC,No,No,,2244 Maxon Rd Ext,,Schenectady,NY,12308,5183654032,12/20/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.92045 42.8337)
25-64J5S-CR,"MPC Plumbing & Heating, Inc.",,Corporation,No,No,,62c Rector Street,,Staten Island,NY,10310,7185563929,01/02/2025,01/02/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.12796 40.63536)
25-64JA6-CR,"M&P Engineering and Land Surveying, PLLC",,LLC,No,No,,"1326 New Seneca Turnpike, B1",,Skaneateles,NY,13152,3153136644,01/02/2025,01/02/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-76.4121 42.94818)
24-633YG-CR,"MP Environmental Services of NY, Inc.",,Corporation,No,No,,1080 Military Turnpike Suite 4,,Plattsburgh,NY,12901,5185664575,11/25/2024,12/29/2026,Active,No,Other,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.50795 44.66571)
25-64OV7-CR,MPFP Landscape Architect PLLC,,LLC,No,No,,120 Broadway,20th floor,New York,NY,10271,2124776366,01/21/2025,01/21/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.01097 40.70865)
24-64E8D-CR,"M. PURTILL PLUMBING, LLC",Purtill Plumbing,LLC,No,No,,3959 North Buffalo Road,,Orchard Park,NY,14127,7166621678,12/30/2024,12/30/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,Yes,Yes,No,POINT (-78.74468 42.77557)
24-636U7-CR,"MR2 Construction Services, LLC",MR2 Construction Services LLC,LLC,No,No,,5 Old Stonebreak Rd,,Malta,NY,12020,5182334119,12/10/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.7903 42.96486)
25-64VES-CR,M. RAHMAN CONSTRUCTION CORP.,,,Yes,Yes,,1876 SCHENECTADY AVE SUITE 2,,BROOKLYN,NY,11234,7184383110,01/07/2025,01/07/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.93063 40.62669)
24-6367U-CR,"MRD Tree Service, Inc",Mike's Tree Service,Corporation,No,No,,1184 Hollow Road,,Clinton Corners,NY,12514,8452663685,12/11/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.79327 41.83683)
24-64B86-CR,MRF ABATEMENT SERVICES LLC,,LLC,No,No,,670 rt 9w,,glenmont,NY,12077,5183652787,12/15/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.79708 42.58497)
25-64C3B-CR,"MRG Construction Group, Inc.",,Corporation,No,No,,255 B ROSE ROAD,"Harrisville, NY  13648",HARRISVILLE,NY,13648,3155432049,01/09/2025,01/09/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-75.24144 44.21238)
25-64VGP-CR,"MRG Crane & Equipment, LLC",,LLC,No,No,,255 B ROSE ROAD,"Harrisville, NY  13648",HARRISVILLE,NY,13648,3155432049,01/06/2025,01/07/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-75.24144 44.21238)
24-63HCC-CR,MR. GLASSWORKS LLC,Mr. Glass,LLC,No,No,,835 East Main St,,Rochester,NY,14605,5852711270,12/05/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-77.59001 43.16046)
25-64P8P-CR,Mr. Grant Contr. Inc.,,Corporation,No,No,,255 B ROSE ROAD,"Harrisville, NY  13648",HARRISVILLE,NY,13648,3155432049,01/10/2025,01/10/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-75.24144 44.21238)
24-64F4X-CR,"MRI Contractors of New York, Inc.","MRI Contractors of New York, Inc.",Corporation,No,No,,300 Hogan Road,,Fairport,NY,14450,5852232660,12/23/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-77.41878 43.0687)
24-64JGK-CR,"MRJ Industries, Ltd",,Corporation,No,No,,98 East Montauk Hwy,,Hampton Bays,NY,11946,6315942098,12/31/2024,12/31/2026,Active,Yes,,No,No,No,,,,,No,No,Yes,Yes,No,Yes,No,POINT (-72.51816 40.87936)
25-64X8D-CR,M. Romano & Son Inc.,M. Romano & Son Trucking,Corporation,No,No,,P.O. Box 236,,Clifton Park,NY,12205,5187884046,01/16/2025,01/16/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,
24-64YIQ-CR,M&R SHEETMETAL LLC,D&G SHEETMETAL,LLP,No,No,,5400 grand avenue,,maspeth,NY,11378,7183269111,12/13/2024,12/29/2026,Active,No,Other,Yes,No,No,,,,,No,No,Yes,No,No,Yes,No,POINT (-73.91493 40.71862)
24-64DIL-CR,MSA Construction & Consulting Corp,,Corporation,Yes,No,,40W Oxford St,,Valley Stream,NY,11580,3479961751,12/18/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.69956 40.66676)
24-64FDF-CR,M. Scher & Son Inc.,,Corporation,No,No,,1 Prospect Ave,,Albany,NY,12206,5184625544,12/20/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.76798 42.67275)
24-6394Y-CR,MSC Steel LLC,,LLC,No,No,,17 Industrial Pkwy,,Gloversville,NY,12078,5189214371,12/12/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.35653 43.03149)
24-64RI7-CR,M.S. Erectors Corp.,,Corporation,No,No,,27 Stone Castle Road,,Rock Tavern,NY,12575,8452454223,12/20/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.13474 41.53138)
25-64J18-CR,"M&S FIRE PROTECTION, LLC",,LLC,No,No,,6798 Fly Road,,East Syracuse,NY,13057,3158700926,01/02/2025,01/02/2027,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,Yes,Yes,No,POINT (-76.05989 43.09998)
24-64DJ5-CR,"M.S. Iron Works, Inc.",,Corporation,No,No,,27 Stone Castle Road,,Rock Tavern,NY,12575,8452454223,12/18/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.13474 41.53138)
24-64B3L-CR,"MSM EMPIRE CONSTRUCTION, CORP.",MSM EMPIRE CONSTRUCTION CORP,Corporation,No,No,,260 BROADWAY,,garden city park,NY,11040,5167463304,12/16/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,Yes,Yes,No,POINT (-73.65511 40.73885)
25-64SXE-CR,"M.S.T. GENERAL CONTRACTING RESTORATION, INC.",MST GENERAL CONTRACTING RESTORATION INC,Corporation,No,No,,51-11 34th street,,Long Island City,NY,11101,7187079700,02/07/2025,02/07/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.93462 40.7372)
25-64CQF-CR,"M & S Tile and Marble Designs, Inc.",,Corporation,No,No,,PO Box 336,,Delmar,NY,12054,5188595770,01/09/2025,01/09/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,
24-64RRK-CR,M'S TIMES THREE CORP,,Corporation,No,No,,19 Old Dock Road,,YAPHANK,NY,11980,6319241414,12/19/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-72.94249 40.81528)
24-64BU1-CR,M. Sullivan Construction,,Corporation,No,No,,131 Tivoli Street,,Albany,NY,12207,5184650310,12/16/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.74883 42.6665)
24-64G5X-CR,MTD RENOVATION INC,,Corporation,Yes,Yes,THAKOOR  DINGHOOR,103-22 Plattwood Ave,,OZONE PARK,NY,11417,3473574276,12/26/2024,12/29/2026,Active,No,Sole Proprietor,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.8351 40.67848)
25-64ZVL-CR,"MTL DESIGN, INC.",,Corporation,No,No,,"22109 Fabco Rd., Suite #4",,"Watertown, NY",NY,13601,3157674155,02/10/2025,02/10/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-75.85683 43.98748)
25-64U83-CR,MT. OLYMPUS RESTORATION LLC,,LLC,No,No,,22 Ridge Rock Ln,,East Norwich,NY,11732,5163966663,01/29/2025,01/29/2027,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,No,Yes,No,POINT (-73.52762 40.8475)
24-64E68-CR,"M&T Plumbing and Heating Co., Inc.",,Corporation,No,No,,120 E 13th St,,New York,NY,10003,2126736700,12/31/2024,12/31/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,Yes,Yes,No,POINT (-73.98883 40.73308)
24-636DR-CR,MTS INFRASTRUCTURE LLC,,LLC,Yes,No,,"2 Byram Brook Place, Suite 202",,Armonk,NY,10504,9143187757,12/10/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,Yes,No,No,No,Yes,No,POINT (-73.6992 41.12475)
24-64BPR-CR,"Mu Joy, Inc.",Roe Mechanical Corp,Corporation,No,No,,231 Whaley st,,Freeport,NY,11520,5162798216,12/16/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.59406 40.64808)
24-648HY-CR,MULLALLY BROS. INC.,,Corporation,No,No,,116 Campbell Ave,,Troy,NY,12180,5182727061,12/30/2024,12/30/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,No,Yes,No,POINT (-73.68128 42.70539)
25-64OVT-CR,Mullen Industrial Handling Corporation,,Corporation,No,No,,PO Box 246,,E Syracuse,NY,13057,3154373386,01/21/2025,01/21/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,
24-64DZG-CR,Multi-Phase Contracting Corp,,Corporation,No,No,,7005 Dunnsville Rd,,Altamont,NY,12009,5188613638,12/18/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,No,Yes,No,POINT (-74.01551 42.73856)
24-635AD-CR,"Multi-Phase Electrical Services, Inc.",,Corporation,No,No,,15 William Street,,Closter,NJ,07624,2012977870,12/04/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,No,Yes,No,POINT (-73.96213 40.97637)
25-64SBX-CR,Municipal Mapping Corp.,,Corporation,No,No,,10 Sylvia Lane,,Middle Island,NY,11953,6313452658,02/06/2025,02/06/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-72.94929 40.85894)
24-64NTD-CR,"Municipal Pipe Co., LLC",,LLC,No,No,,485 Kennedy Rd.,,Cheektowaga,NY,14227,7163324974,12/17/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-78.77538 42.89635)
25-641PI-CR,"MUNICIPAL TESTING LABORATORY, INC.",Municipal Testing Laboratory Inc,Corporation,No,No,,375 RABRO DRIVE,,Hauppauge,NY,11788,6317615555,01/27/2025,01/27/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.23253 40.81141)
24-64EPE-CR,Munoz Trucking Corp,,Corporation,Yes,No,,40-48 Porete Ave,,North Arlington,NY,07031,2019978885,12/30/2024,12/30/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.12713 40.77714)
25-64ZE4-CR,"Murdough Development Concrete & Masonry, Inc",Md concrete,Corporation,No,No,,515 Pavement Rd Suite 10,suite 4,Lancaster,NY,14086,7165238724,02/10/2025,02/10/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-78.62201 42.9293)
24-64RAZ-CR,"Murnane Building Contractors, Inc.",,Corporation,No,No,,104 Sharron Ave,,Plattsburgh,NY,12901,5185614010,12/20/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,Yes,No,No,No,No,Yes,No,POINT (-73.4555 44.67672)
24-6357T-CR,"Murnane Construction Services, Inc.",,Corporation,No,No,,PO Box 2984,,Plattsburgh,NY,12901,5185614010,12/04/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,
24-634FK-CR,Murphy Excavating Corporation,,Corporation,No,No,,9309 Chapman Rd,,New Hartford,NY,13413,3157379462,11/29/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-75.27065 43.05228)
24-648V6-CR,"Murray Roofing Co., Inc.",,Corporation,No,No,,600 Cayuga Creek Road,,Cheektowaga,NY,14227,7168965555,12/27/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,Yes,No,No,No,Yes,No,POINT (-78.76445 42.87888)
24-64D7A-CR,"Murtaugh Restorations, Inc",,Corporation,Yes,No,,3614 Burnet Ave,,East Syracuse,NY,13057,3154325600,12/19/2024,12/19/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-76.08304 43.06246)
24-637RC-CR,"Musco Sports Lighting, LLC.",,LLC,No,No,,100 1st Ave W,,Oskaloosa,IA,52577,6416730411,12/06/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-92.64533 41.29442)
24-64YR9-CR,MUZI CONSTRUCTION CORP.,,Corporation,Yes,No,,6202 11TH AVE,,BROOKLYN,NY,11219,3477556946,12/12/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.00421 40.63029)
24-637ZX-CR,"M. V. P. Construction Company, Inc.",MVP Construction Co Inc,Corporation,No,No,,1860 Route 9,,Clifton Park,NY,12065,5183831190,12/09/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,No,Yes,No,POINT (-73.77257 42.89172)
25-64OID-CR,M&W Precast LLC,,LLC,No,No,,210 Durham Road,,Ottsville,PA,18942,6108471702,01/21/2025,01/21/2027,Active,No,Out of State,No,No,No,,,,,No,No,Yes,No,No,Yes,No,POINT (-75.15795 40.47003)
25-64VKE-CR,My Ground LLC,RDM Restoration and Move Management,Corporation,No,No,,5 Madonna Drive,,LaGrangeville,NY,12540,9148172594,01/07/2025,01/07/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.74338 41.67883)
24-6376P-CR,"Myriad Constructions, Inc.",,Corporation,No,No,,414 Liberty Street,,Syracuse,NY,13204,3154767616,12/09/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,Yes,Yes,No,POINT (-76.17369 43.05481)
24-64JVN-CR,N2N Project Management LLC,,LLC,No,No,,22 McGuinness Blvd,,Brooklyn,NY,11222,6462621729,12/31/2024,12/31/2026,Active,No,Sole Proprietor,No,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.94745 40.72351)
24-63HHL-CR,NABER ELECTRIC CORP.,,Corporation,No,No,,1025 Saw Mill River Rd,,Yonkers,NY,10710,9149412244,12/06/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,Yes,Yes,No,POINT (-73.86819 40.97077)
24-64GLG-CR,"Naber Electric, N.Y. Corp.",,Corporation,No,No,,1025 SAW MILL RIVER RD,,YONKERS,NY,10710,9149412244,12/26/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,Yes,Yes,No,POINT (-73.86819 40.97077)
25-64VFI-CR,Nadine Plaut,,Sole Proprietorship,Yes,No,,1300 Walt Whitman Rd,Suite 101,Melville,NY,11747,5168291022,01/06/2025,01/07/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.41885 40.78596)
24-635FL-CR,Nagan Construction Inc.,,Corporation,No,No,,710 Sunrise Highway,,Baldwin,NY,11510,5163746286,12/03/2024,12/03/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,No,Yes,No,POINT (-73.60992 40.65625)
25-64O1Y-CR,Nair Electric Corp.,,Corporation,Yes,No,,622-3 Louisiana Avenue,,Brooklyn,NY,11234,3472674294,01/21/2025,01/21/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.88563 40.64737)
24-637G5-CR,"Nairy Mechanical, LLC",Service Disabled Veteran Owned,LLC,No,No,,105 Commercial St,,Webster,NY,14580,5852656688,12/06/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,Yes,Yes,No,POINT (-77.43416 43.21842)
25-64UAV-CR,NANCY OWENS STUDIO LANDSCAPE ARCHITECTURE + URBAN DESIGN PLLC,,LLC,Yes,No,,110 Franklin St,2W,New York,NY,10013,2122262143,01/30/2025,01/30/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.00595 40.71856)
24-64DFI-CR,Nannini & Callahan Excavating Inc.,,Corporation,No,No,,P.O. Box 163,,Cornwall,NY,12518,8455349674,12/18/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,
25-64KNF-CR,NANZARAM LLC,,LLC,Yes,No,,73 Market StreetSuite 376,,Yonkers,NY,10710,3479723109,01/03/2025,01/03/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.85609 40.96298)
25-64VCV-CR,"Napierala Consulting Professional Engineer, P.C.",,Corporation,No,No,,110 Fayette St.,,Manlius,NY,13104,3156825580,01/07/2025,01/07/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-75.9796 43.00191)
24-648YV-CR,Napp Electric Contractor Co. Inc.,,Corporation,No,No,,249 Cottage Street,,Middletown,NY,10940,8453423748,12/26/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,No,Yes,No,POINT (-74.40596 41.45889)
24-63H9S-CR,"Nardozzi Paving & Construction, LLC",,LLC,No,No,,124 North Genesee Street,,Geneva,NY,14456,3157199846,12/06/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,Yes,No,Yes,No,Yes,Yes,No,POINT (-76.98403 42.88032)
25-64Z8Q-CR,"N ARJUN CONSTRUCTION, CORP.",,Corporation,Yes,No,,212 RIBBON STREET,,FRANKLIN SQUARE,NY,11010,3476592797,02/10/2025,02/10/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.66676 40.70205)
25-64KDV-CR,NASA CONSTRUCTION CORP.,,Corporation,No,No,,88-04 63rd drive,Apt 124,Rego Park,NY,11374,9173284159,01/03/2025,01/03/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.86583 40.72468)
24-648A7-CR,NASSAU RENTAL & SUPPLY CORP.,NA,Corporation,No,No,,8 Glenwood Road,,Roslyn Harbor,NY,11576,5167906751,12/29/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.6436 40.81797)
25-64I3S-CR,"National Bathroom Accessories, LLC",,LLC,No,No,,79 New York Ave,,Westbury,NY,11590,5164983813,02/05/2025,02/05/2027,Active,No,Sole Proprietor,No,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.56062 40.75802)
24-64GLK-CR,"National Bath Systems, LLC",Bath Fitter,LLC,No,No,,3910 Brewerton Road,,N. Syracuse,NY,13212,3154005999,12/26/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-76.14158 43.12124)
25-64P3Z-CR,"National Construction Rentals, Inc.",,Corporation,No,No,,15319 Chatsworth Street,,Mission Hills,CA,91345,8182216057,01/13/2025,01/13/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-118.46599 34.26455)
24-637ZS-CR,"National Environmental Safety Company, Inc.","National Environmental Safety Company, Inc.",Corporation,No,No,,900 3RD AVENUE,,New Hyde park,NY,11040,7183610044,12/09/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,No,Yes,No,POINT (-73.68515 40.72957)
24-64RGI-CR,National Installation & GC Corp.,,Corporation,No,No,,337 West John Street,,Hicksville,NY,11801,5166436980,12/19/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-73.53887 40.7668)
24-637XQ-CR,"National Interiors, Inc.",,Corporation,No,No,,145 PALISADE ST,STE 359,DOBBS FERRY,NY,10522,9144789200,12/09/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,Yes,No,Yes,Yes,No,POINT (-73.87736 41.0167)
24-64JYD-CR,"National lawn sprinklers, inc","National lawn sprinklers, inc",Corporation,No,No,,645 North Broadway,,White Plains,NY,10603,9149466666,12/31/2024,12/31/2026,Active,Yes,,Yes,No,Yes,State Law,New York,05/14/2018,05/14/2023,No,No,Yes,No,No,Yes,No,POINT (-73.76755 41.05478)
24-64D9J-CR,National Maintenance Contracting Corp,,Corporation,No,No,,PO Box 258,,Niagara Falls,NY,14304,7162851583,12/19/2024,12/29/2026,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,
25-64QPX-CR,NATIONAL REPROGRAPHICS INC.,BluEdge,Corporation,Yes,No,,410 Commerce Blvd,Unit A1,Carlstadt,NJ,07072,8885996611,01/14/2025,01/14/2027,Active,Yes,,Yes,No,No,,,,,No,No,No,No,No,Yes,No,POINT (-74.04868 40.82889)
