Business Name,DBA Name,Business Type,Business is MWBE Owned,Business is Publicly Traded,Business Officers,Address,Address 2,City,State,Zip Code,Phone,Issued Date,Business has a NYS DOL Employer Registration Number,Reason business does not have a NYS DOL Employer Registration Number,Business has a WCB Employer Number,Business has outstanding wage assessments,Business has been debarred,Debarment State or Federal Law,Debarment State,Debarment Start Date,Debarment End Date,Business has final determination for violation of Labor or Tax Law,Business has final determination safety standard violations,Business is associated with an apprenticeship program,Business is sponsor of a program,Business is signatory to a group program,Business has Workers Compensation Insurance,Business is exempt from Workers Compensation Insurance
MANN WIRELESS INC,MANN WIRELESS LTD,Corporation,No,No,None Listed,7303 124TH AVE N,NOT APPLICABLE,LARGO,FL,33773,7272166200,12/17/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MANNY P CONCRETE COMPANY INC,NO DBA,Corporation,Yes,No,None Listed,PO BOX 356168,NOT APPLICABLE,BRIARWOOD,NY,11435,7182061550,12/14/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MANSFIELD CRANE SERVICE CORPORATION,WWWMANSFIELDCRANECOM,Corporation,No,No,None Listed,79 WESTGATE RD,NOT APPLICABLE,MANSFIELD,PA,16933,5706623997,1/30/2025,No,Out of State,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MAPCO ENTERPRISES INC,NO DBA,Corporation,No,No,None Listed,99 CORDELL RD,NOT APPLICABLE,SCHENECTADY,NY,12304,5183464678,11/27/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No
MAPLE HILL SITE INC,NO DBA,Corporation,No,No,None Listed,265 BOWEN RD,NOT APPLICABLE,EAST AURORA,NY,14052,7167149853,12/12/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MAPLE LEAF ASSOCIATES INC,NO DBA,Corporation,No,No,None Listed,4 MORRISSEY DR,NOT APPLICABLE,PUTNAM VALLEY,NY,10579,8455262024,12/4/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MAPLE RIDGE ORGANICS LLC,NO DBA,LLC,Yes,No,None Listed,741 COUNTY HWY 29,NOT APPLICABLE,RICHFIELD SPRINGS,NY,13439,3158687829,11/21/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MAPLE SPRINGS TREE SERVICE LLC,NO DBA,LLC,No,No,None Listed,PO BOX 498,NOT APPLICABLE,BEMUS POINT,NY,14712,7169694858,1/7/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
M  A PROJECTS INC,MA PROJECTS INC,Corporation,No,No,None Listed,18 DIVISION PL,NOT APPLICABLE,BROOKLYN,NY,11222,7183260776,2/11/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MARACLE BUILDERS LLC,NO DBA,LLC,Yes,No,None Listed,2882 EDGEMERE DR,NOT APPLICABLE,ROCHESTER,NY,14612,5852300987,1/22/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MARACON ENTERPRISES INC,NO DBA,Corporation,No,No,None Listed,1343 FAIRPORT NINE MILE PT RD,SUITE C,WEBSTER,NY,14580,5852361573,12/18/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MARAGOS PAINTING LLC,NO DBA,LLC,No,No,None Listed,460 VALLEY ST,NOT APPLICABLE,ORANGE,NJ,7050,9737317179,2/12/2025,No,Out of State,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MARALEX ELECTRIC CORP,NO DBA,Corporation,No,No,None Listed,9 EAST 45TH ST,NOT APPLICABLE,NEW YORK,NY,10017,7183018722,12/6/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No
MARATHON ENGINEERING CORPORATION,NO DBA,Corporation,No,No,None Listed,5615 2ND ST WEST,NOT APPLICABLE,LEHIGH ACRES,FL,33971,2393037378,2/12/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MARCELLUS CONSTRUCTION COMPNAY INC,MARCELLUS CONSTRUCTION COMPANY INC,Corporation,No,No,None Listed,11151 US 11,NOT APPLICABLE,ADAMS,NY,13605,3152322847,12/5/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No
MARCHUSKA BROTHERS CONSTRUCTION LLC,NO DBA,LLC,No,No,None Listed,408 COMMERCE RD,NOT APPLICABLE,VESTAL,NY,13850,6077863762,12/5/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No
MARCHUSKA GLASS LLC,MARCHUSKA COMPANIES,LLC,No,No,None Listed,408 COMMERCE RD,NOT APPLICABLE,VESTAL,NY,13850,6077863762,12/9/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No
MARCOS G CONSTRUCTION LLC,NO DBA,LLC,No,No,None Listed,PO BOX 301,NOT APPLICABLE,BULLVILLE,NY,10915,9292910810,12/31/2024,No,Other,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MARCUS INTERNATIONAL LLC,EXPERT CLEANS,LLC,Yes,No,None Listed,1917 CHURCHILL DR,NOT APPLICABLE,UNION,NJ,7083,8622416016,12/12/2024,No,Out of State,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MARCY EXCAVATION SERVICES LLC,NO DBA,LLC,No,No,None Listed,125 DEFREEST DR,NOT APPLICABLE,TROY,NY,12180,5182793265,12/13/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No
MARGEO CONSTRUCTION CORP,NO DBA,Corporation,No,No,None Listed,5636 213 ST,NOT APPLICABLE,BAYSIDE HILLS,NY,11364,9175820082,12/5/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No
MARGIASSO CONTRACTING INC,NO DBA,Corporation,No,No,None Listed,14 SOUTH CLEMENT AVE,NOT APPLICABLE,RAVENA,NY,12143,5182651609,1/24/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MARGIN ELECTRIC LLC,NO DBA,LLC,No,No,None Listed,2144 JONES AVE,NOT APPLICABLE,WANTAGH,NY,11793,5163616957,12/10/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MARIC MECHANICAL INC,NO DBA,Corporation,No,No,None Listed,1953 46TH ST,NOT APPLICABLE,ASTORIA,NY,11105,7187214690,11/29/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No
MARIC PLUMBING  HEATING INC,NO DBA,Corporation,No,No,None Listed,5040 69TH PL,NOT APPLICABLE,WOODSIDE,NY,11377,7185651525,12/12/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No
MARINE BULKHEADING INC,NO DBA,Corporation,No,No,None Listed,3512 BAY CT,NOT APPLICABLE,SEAFORD,NY,11783,5167857557,1/5/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MARINELLO CONSTRUCTION CO INC,NO DBA,Corporation,No,No,None Listed,142 CATHERINE ST,NOT APPLICABLE,ALBANY,NY,12202,5184491717,1/3/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,Yes,Yes,Yes,No
MARINE POOL RENOVATIONS LLC,MARINE POOL RENOVATIONS LLC,LLC,No,No,None Listed,287 HAWTHORNE AVE,NOT APPLICABLE,DERBY,CT,6418,2036500937,12/26/2024,No,Out of State,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MARINE TEMPERATURE SYSTEMS INC,MTS POWER SYSTEMS,Corporation,No,No,None Listed,1642 NEW HWY,NOT APPLICABLE,FARMINGDALE,NY,11735,6317605780,12/31/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MARINO  SONS CONSTRUCTION CORP,NO DBA,Corporation,No,No,None Listed,39 THEODORE ROOSEVELT DR,NOT APPLICABLE,BLAUVELT,NY,10913,8457094366,12/23/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MARIOTTI SURVEYING  ENGINEERING PC,MARIOTTI SURVEYING  ENGINEERING PC,Corporation,No,No,None Listed,2336 MESERVEY HL RD,NOT APPLICABLE,WELLSVILLE,NY,14895,5855937830,12/26/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MARJORIE MCKEOWN,MO TRUCKING,Sole Proprietorship,Yes,No,None Listed,5617 ROUTE 380,NOT APPLICABLE,SINCLAIRVILLE,NY,14782,7169624253,1/8/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MARK A PERKINS,AF TRUCKING  EXCAVATING,Sole Proprietorship,No,No,None Listed,148 WASHINGTON ST,NOT APPLICABLE,SALAMANCA,NY,14779,7162442916,12/11/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MARK A RANDOLPH,MARK A RANDOLPH TRUCKING,Sole Proprietorship,No,No,None Listed,2380 STATE RTE 38A,NOT APPLICABLE,MORAVIA,NY,13118,3154062212,12/27/2024,No,Sole Proprietor,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MARK CERRONE INC,NO DBA,Corporation,No,No,None Listed,PO BOX 3009,NOT APPLICABLE,NIAGARA FALLS,NY,14034,7162825244,11/22/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Yes,Yes,No,Yes,Yes,No
MARK CONTRACTING NY INC,NO DBA,Corporation,Yes,No,None Listed,9432 209TH ST,NOT APPLICABLE,QUEENS VILLAGE,NY,11427,6463021800,1/3/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MARKIS INC,LANDMARK ENTERPRISES,Corporation,No,No,None Listed,5994 LK AVE EXT,NOT APPLICABLE,AUBURN,NY,13021,3152527588,12/12/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MARK  SON METAL PRODUCTS INC,MARK  SON METAL PRODUCTS INC,Corporation,No,No,None Listed,333 RAILROAD AVE,NOT APPLICABLE,BEDFORD HILLS,NY,10507,9146666496,1/3/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MARQUES  ASSOCIATES LAND SURVEYORS AND ENGINEER PC,MARQUES  ASSOCIATES PC,Corporation,Yes,No,None Listed,11 NEW LONDON RD,NOT APPLICABLE,PITTSFORD,NY,14534,5857231820,12/2/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MARSAL PLUMBING  HEATING INC,NO DBA,Corporation,No,No,None Listed,10111 97TH AVE,NOT APPLICABLE,OZONE PARK,NY,11416,7183221353,12/4/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No
MARSHALL EXTERIORS LLC,FINGERLAKES CONSTRUCTION,LLC,No,No,None Listed,135 E UNION ST,NOT APPLICABLE,NEWARK,NY,14513,3153316462,12/30/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Yes,No,No,No,Yes,No
MARTIN ASSOCIATES INC,NO DBA,Corporation,No,No,None Listed,417 SOUTH MAIN ST,NOT APPLICABLE,FREEPORT,NY,11520,5162481234,12/3/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No
MARTIN BUILDERS ENTERPRISE LLC,NO DBA,LLP,No,No,None Listed,4460 STATE ROUTE 414,NOT APPLICABLE,NORTH ROSE,NY,14516,3155879836,1/2/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Yes,No,No,No,Yes,No
MARTIN COUNTRYMAN,NO DBA,Sole Proprietorship,No,No,None Listed,10 COUNTRY MEADOW LN,NOT APPLICABLE,GOUVERNEUR,NY,13642,3157782192,1/10/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MARTIN ENVIRONMENTAL SERVICES LLC,NO DBA,Corporation,No,No,None Listed,1710 ERIE BLVD,NOT APPLICABLE,SCHENECTADY,NY,12308,5183465800,12/27/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MARTINO TILE INC,NO DBA,Corporation,No,No,None Listed,8 KARLA DR,NOT APPLICABLE,WINDSOR,NY,13865,6077223534,12/3/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MARTINZOMBEK CONSTRUCTION SERVICES INC,NO DBA,Corporation,No,No,None Listed,6806 NEWBROOK AVE,NOT APPLICABLE,EAST SYRACUSE,NY,13057,3158491984,12/9/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MARVIN DEVELOPMENTS INC,NO DBA,Corporation,No,No,None Listed,17 SOUTH MACQUESTEN PKWY,NOT APPLICABLE,MT VERNON,NY,10550,9142061910,12/23/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MARWAL CONSTRUCTION CO INC,MARWAL CONSTRUCTION CO INC,Corporation,No,No,None Listed,440 GOULD AVE,NOT APPLICABLE,DEPEW,NY,14043,7166818396,12/29/2024,Yes,Not Applicable,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MARYPIVEN INC,CLEAN2CLEAN,Corporation,Yes,No,None Listed,30 BROAD ST,SUITE 1418,NEW YORK,NY,10004,6466397892,1/15/2025,No,Other,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MARZANO EXCAVATING LLC,NO DBA,LLP,No,No,None Listed,23699 SWAN RD,NOT APPLICABLE,WATERTOWN,NY,13601,3157713224,1/8/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MAS ELECTRIC  TECHNOLOGIES LLC,NO DBA,Corporation,Yes,No,None Listed,2929 THIRD AVE,4TH FLOOR,BRONX,NY,10455,7189283008,1/27/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MASON CONSTRUCTION SERVICES INC,NO DBA,Corporation,No,No,None Listed,150 MOTOR PKWY,SUITE 401,HAUPPAUGE,NY,11788,3479330867,12/19/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MASONRY SOLUTIONS INTERNATIONAL INC,NO DBA,Corporation,No,No,None Listed,10815 BEAVER DAM RD,SUITE D,COCKEYSVILLE,MD,21030,4107711922,12/19/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MASON TECHNOLOGIES INC,MASON TECHNOLOGIES INC,Corporation,Yes,No,None Listed,517 COMMACK RD,NOT APPLICABLE,DEER PARK,NY,11729,6312346565,12/24/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MASPETH C  S LTD,NO DBA,Corporation,Yes,No,None Listed,5936 56TH ST,NOT APPLICABLE,MASPETH,NY,11378,7183860300,1/24/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MASPETH REMODELING CO INC,MASPETH ENVIRONMENTAL CORP,LLC,No,No,None Listed,5430 44TH ST,NOT APPLICABLE,MASPETH,NY,11378,8887232325,1/17/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MASPETH SUPPLY CO LLC,NO DBA,LLC,No,No,None Listed,5514 48TH ST,NOT APPLICABLE,MASPETH,NY,11378,7187867000,12/26/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MASPETH WELDING INC,NO DBA,Corporation,No,No,None Listed,5930 54TH ST,NOT APPLICABLE,MASPETH,NY,11378,7184975430,2/7/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MASSA CONSTRUCTION INC,NO DBA,Corporation,No,No,None Listed,630 PREEMPTION RD,NOT APPLICABLE,GENEVA,NY,14456,3157898667,12/5/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No
MASSARO ELECTRIC CORP,MASSARO ELECTRIC CORP,Corporation,No,No,None Listed,879 NASSAU RD,NOT APPLICABLE,UNIONDALE,NY,11553,5164813759,1/27/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MASSARO SERVICES,NO DBA,Corporation,No,No,None Listed,4204 ACME RD,NOT APPLICABLE,FRANKFORT,NY,13340,3157178051,1/27/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MASS ELECTRIC CONSTRUCTION CO,NO DBA,Corporation,No,No,None Listed,1550 MIKE FAHEY ST,NOT APPLICABLE,OMAHA,NE,68102,4023422052,12/3/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Yes,Yes,No,Yes,Yes,No
MASSIVE TESTING  BALANCING LLC,NO DBA,LLC,No,No,None Listed,1 MADISON AVE,NOT APPLICABLE,BATAVIA,NY,14020,5858151501,12/6/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No
MASS MERCHANDISING SELF SELECTION EQUIPMENT CORP,MASS MERCHANDISING,Corporation,No,No,None Listed,352 ORVILLE DR,NOT APPLICABLE,BOHEMIA,NY,11716,6312343300,12/18/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MASTERPIECE US INC,NO DBA,Corporation,No,No,None Listed,1857 41 ST,NOT APPLICABLE,ASTORIA,NY,11105,7187280509,2/3/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MASTERTECH FLOOR INSTALLATION INC,NO DBA,Corporation,No,No,None Listed,639 BROADWAY,NOT APPLICABLE,NEWBURGH,NY,12550,9147550838,1/2/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MATCO ELECTRIC CORPORATION,MATCO ELECTRIC CORPORATION,Corporation,No,No,None Listed,3913 GATES RD,NOT APPLICABLE,VESTAL,NY,13850,6077294921,11/27/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No
MATE MATURA AND SONS INC,NO DBA,Corporation,Yes,No,None Listed,5400 NEW HORIZONS BLVD,NOT APPLICABLE,AMITYVILLE,NY,11701,6318701550,1/17/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,No,Yes,No
MATERIAL HANDLING TECHNOLOGIES INC,NO DBA,Corporation,No,No,None Listed,7488 ROUND POND RD,NOT APPLICABLE,N. SYRACUSE,NY,13212,3154634950,12/26/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MATHEW E WHITE,WB SAFETY  ENGINEERING,Sole Proprietorship,No,No,None Listed,1971 WESTERN AVE,269,ALBANY,NY,12203,5187888617,1/3/2025,No,Sole Proprietor,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MATHUSEK INCORPORATED,NO DBA,Corporation,No,No,None Listed,25B IRON HORSE RD,NOT APPLICABLE,OAKLAND,NY,7436,2014050004,1/6/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No
MATRI CONSTRUCTION INC,NO DBA,Corporation,No,No,None Listed,21 STONEHURST LN,NOT APPLICABLE,DIX HILLS,NY,11746,5167072655,12/30/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MATRIX ACQUISITION GROUP LLC,MATRIX COMMUNICATIONS,LLC,No,No,None Listed,17 TECHNOLOGY PL,NOT APPLICABLE,EAST SYRACUSE,NY,13057,3154514777,1/3/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MATRIX MECHANICAL CORP,NO DBA,Corporation,No,No,None Listed,4715 35TH ST,3RD FLOOR OFFICE,LONG ISLAND CITY,NY,11101,7187070900,1/28/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No
MATRIX NEW WORLD INC,NO DBA,LLC,No,No,None Listed,26 COLUMBIA TPKE,NOT APPLICABLE,FLORHAM PARK,NY,7932,9732401800,12/20/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MATTESSICH IRON LLC,NO DBA,LLC,No,No,None Listed,PO BOX 120,NOT APPLICABLE,MEMPHIS,NY,13112,3156890057,12/30/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MATTHEW C STEVES LAND SURVEYOR DPC,VAN DUSEN AND STEVES LAND SURVEYORS,Corporation,No,No,None Listed,169 HAVILAND RD,NOT APPLICABLE,QUEENSBURY,NY,12804,5187928474,1/22/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MATTHEW E EATON,JME CONTRACTING,Sole Proprietorship,No,No,None Listed,491 STATE ROUTE 26,NOT APPLICABLE,WILLET,NY,13863,6077458281,1/21/2025,No,Sole Proprietor,No,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,No,Yes
MATT KOLO EXCAVATING LLC,NO DBA,Corporation,No,No,None Listed,7008 OMPHALIUS RD,NOT APPLICABLE,COLDEN,NY,14033,7168600039,1/4/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MATTOON CONSTRUCTION SERVICES INC,NO DBA,Corporation,No,No,None Listed,8512 ROUTE 57,NOT APPLICABLE,BALDWINSVILLE,NY,13027,3156529067,11/26/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MAUS MECHANICAL LLC,NO DBA,LLC,No,No,None Listed,1410 RIV RD,NOT APPLICABLE,BINGHAMTON,NY,13901,6073432456,1/31/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MAVEC ADVISORS LLC,MAVEC ADVISORS,LLC,No,No,None Listed,11 HIDDEN POND PATH,SUITE 1A,WADING RIVER,NY,11792,6317470372,12/21/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MAVEN CONSTRUCTION CORP,MAVEN CONSTRUCTION CORP,Corporation,No,No,None Listed,617 JOHNSON AVE,NOT APPLICABLE,BROOKLYN,NY,11237,7184188800,1/8/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MAVEN RESTORATION INC,NO DBA,Corporation,No,No,None Listed,821 CEDAR RD,NOT APPLICABLE,NORTH BELLMORE,NY,11710,5162321207,12/16/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MAVERICK CONSTRUCTION GROUP INC,NO DBA,Corporation,Yes,No,None Listed,915 38TH AVE,NOT APPLICABLE,LONG ISLAND CITY,NY,11101,7187070005,12/18/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Yes,No,Yes,Yes,No
MAVI INC,NO DBA,Corporation,Yes,Yes,Marco Vinicio Chica,7746 66TH RD,NOT APPLICABLE,MIDDLE VILLAGE,NY,11379,7183812390,2/13/2025,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MAVI NEW YORK INC,NO DBA,Corporation,No,No,None Listed,5102 21ST ST,SUITE 6D,LONG ISLAND CITY,NY,11101,7188743805,12/24/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
MAVIRO INC,MAVIRO INC,Corporation,No,No,None Listed,526 QUEENSBURY AVE,NOT APPLICABLE,QUEENSBURY,NY,12804,7134855193,12/31/2024,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,No,No,No,Yes,No
